published_date,15_-_24,1_-_4,25_-_34,35_-_44,45_-_54,55_-_64,5_-_14,65+,65_-_74,75_-_84,85+,<1,total,unknown
2020-03-18,28.0,0.0,48.0,62.0,40.0,46.0,4.0,42.0,,,,1.0,,
2020-03-19,38.0,1.0,64.0,78.0,49.0,54.0,8.0,57.0,,,,1.0,350.0,
2020-03-20,47.0,1.0,78.0,96.0,62.0,69.0,9.0,75.0,,,,1.0,438.0,
2020-03-21,56.0,2.0,110.0,121.0,95.0,85.0,10.0,102.0,,,,2.0,584.0,1.0
2020-03-22,63.0,2.0,127.0,149.0,132.0,101.0,12.0,122.0,,,,3.0,712.0,1.0
2020-03-23,69.0,2.0,166.0,165.0,158.0,117.0,16.0,139.0,,,,3.0,836.0,1.0
2020-03-24,77.0,2.0,189.0,183.0,191.0,136.0,17.0,165.0,,,,3.0,965.0,2.0
2020-03-25,94.0,2.0,228.0,214.0,229.0,165.0,20.0,207.0,,,,3.0,1146.0,2.0
2020-03-26,111.0,5.0,264.0,246.0,280.0,197.0,22.0,252.0,,,,3.0,1383.0,3.0
2020-03-27,123.0,7.0,310.0,305.0,320.0,233.0,25.0,307.0,,,,3.0,1383.0,3.0
2020-03-28,136.0,10.0,358.0,353.0,368.0,271.0,25.0,373.0,,,,4.0,,6.0
2020-03-29,155.0,11.0,408.0,416.0,432.0,314.0,29.0,441.0,,,,4.0,,6.0
2020-03-30,171.0,11.0,448.0,448.0,467.0,360.0,29.0,511.0,,,,4.0,,67.0
2020-03-31,178.0,11.0,477.0,503.0,504.0,398.0,30.0,563.0,,,,6.0,,7.0
2020-04-01,194.0,11.0,519.0,550.0,558.0,440.0,30.0,673.0,,,,8.0,,7.0
2020-04-02,216.0,11.0,564.0,617.0,608.0,480.0,30.0,739.0,,,,8.0,,9.0
2020-04-03,235.0,12.0,618.0,685.0,690.0,537.0,30.0,831.0,,,,8.0,,9.0
2020-04-04,255.0,12.0,678.0,751.0,764.0,584.0,33.0,918.0,,,,9.0,,10.0
2020-04-05,270.0,32.0,748.0,808.0,830.0,647.0,35.0,1070.0,,,,11.0,,11.0
2020-04-06,287.0,13.0,820.0,902.0,907.0,697.0,36.0,1229.0,,,,11.0,,14.0
2020-04-07,347.0,18.0,948.0,1044.0,1048.0,794.0,39.0,1326.0,,,,12.0,,17.0
2020-04-08,364.0,18.0,1010.0,1111.0,1118.0,847.0,42.0,1442.0,,,,12.0,,17.0
2020-04-09,384.0,19.0,1103.0,1176.0,1219.0,922.0,43.0,1544.0,,,,14.0,,20.0
2020-04-10,423.0,20.0,1220.0,1304.0,1339.0,1015.0,45.0,1670.0,,,,16.0,,19.0
2020-04-11,473.0,22.0,1343.0,1418.0,1479.0,1138.0,52.0,1825.0,,,,18.0,,19.0
2020-04-12,528.0,27.0,1479.0,1558.0,1609.0,1251.0,56.0,1951.0,,,,18.0,,19.0
2020-04-13,598.0,29.0,1647.0,1757.0,1812.0,1411.0,67.0,2123.0,,,,19.0,,21.0
2020-04-14,674.0,34.0,1805.0,1927.0,1983.0,1522.0,81.0,2316.0,,,,22.0,,21.0
2020-04-15,737.0,36.0,1950.0,2084.0,2157.0,1637.0,96.0,2520.0,,,,25.0,,19.0
2020-04-16,809.0,44.0,2145.0,,,,124.0,,,,,28.0,,
2020-04-17,846.0,44.0,2231.0,2415.0,,1806.0,136.0,273.0,,,,27.0,,20.0
2020-04-18,892.0,48.0,2329.0,,,,142.0,,,,,28.0,,
2020-04-19,953.0,50.0,2467.0,2659.0,2825.0,2122.0,154.0,3320.0,,,,28.0,,24.0
2020-04-20,1000.0,54.0,2557.0,2744.0,2943.0,2184.0,161.0,3488.0,,,,30.0,,24.0
2020-04-21,1009.0,54.0,2580.0,2781.0,2972.0,2207.0,162.0,3646.0,,,,29.0,,24.0
2020-04-22,1039.0,58.0,2635.0,2843.0,3039.0,2254.0,169.0,3782.0,,,,28.0,,24.0
2020-04-23,1071.0,61.0,2712.0,2929.0,3125.0,2311.0,174.0,4004.0,,,,28.0,,24.0
2020-04-24,1130.0,62.0,2838.0,3041.0,3280.0,2408.0,177.0,4431.0,,,,30.0,,23.0
2020-04-25,1161.0,63.0,2904.0,3119.0,3346.0,2462.0,181.0,4685.0,,,,30.0,,24.0
2020-04-26,1193.0,63.0,2977.0,3181.0,3403.0,2513.0,184.0,4862.0,,,,30.0,,25.0
2020-04-27,1236.0,64.0,3069.0,3285.0,3526.0,2566.0,190.0,5101.0,,,,33.0,,25.0
2020-04-28,1262.0,64.0,3096.0,3319.0,3567.0,2586.0,193.0,5239.0,,,,33.0,,24.0
2020-04-29,1295.0,64.0,3149.0,3376.0,3632.0,2620.0,196.0,5334.0,,,,34.0,,23.0
2020-04-30,1323.0,65.0,3201.0,3438.0,3698.0,2665.0,201.0,5460.0,,,,34.0,,26.0
2020-05-01,1363.0,66.0,3271.0,3491.0,3752.0,2706.0,205.0,5596.0,,,,35.0,,25.0
2020-05-02,1383.0,66.0,3314.0,3532.0,3803.0,2736.0,206.0,5642.0,,,,35.0,,25.0
