published_date,carlow,cavan,clare,cork,donegal,dublin,galway,kerry,kildare,kilkenny,laois,leitrim,limerick,longford,louth,mayo,meath,monaghan,offaly,roscommon,sligo,tipperary,waterford,westmeath,wexford,wicklow
2020-03-18,≤ 5,≤ 5,≤ 5,48,≤ 5,129,12,6,≤ 5,≤ 5,,,14,≤ 5,≤ 5,≤ 5,≤ 5,,≤ 5,≤ 5,≤ 5,≤ 5,7,7,≤ 5,9
2020-03-19,≤ 5,≤ 5,≤ 5,62,≤ 5,172,13,6,6,≤ 5,≤ 5,≤ 5,14,≤ 5,6,≤ 5,6,,≤ 5,≤ 5,≤ 5,≤ 5,7,7,≤ 5,13
2020-03-20,≤ 5,≤ 5,7,66,≤ 5,225,14,7,9,7,≤ 5,≤ 5,15,≤ 5,8,≤ 5,11,,≤ 5,≤ 5,≤ 5,≤ 5,7,12,≤ 5,15
2020-03-21,≤5,≤5,7,88,≤5,320,21,8,18,11,≤5,≤5,15,≤5,9,≤5,10,,7,≤5,≤5,≤5,8,14,≤5,17
2020-03-22,≤5,≤5,7,101,≤5,402,25,9,20,11,6,≤5,15,≤5,11,≤5,11,≤5,9,≤5,≤5,8,9,16,≤5,22
2020-03-23,≤5,≤5,9,104,8,471,33,12,23,15,6,≤5,18,≤5,13,6,13,≤5,10,≤5,8,20,9,20,≤5,22
2020-03-24,≤5,≤5,11,123,11,535,35,15,25,16,8,≤5,19,≤5,16,9,16,≤5,13,≤5,8,20,13,21,≤5,28
2020-03-25,≤5,≤5,12,133,11,659,40,33,34,16,9,≤5,19,≤5,18,9,24,≤5,13,≤5,8,20,15,25,7,39
2020-03-26,≤5,6,25,154,12,774,45,38,39,19,9,≤5,24,≤5,20,14,27,≤5,16,≤5,8,27,22,29,8,49
2020-03-27,≤5,9,26,171,15,922,57,44,45,20,10,≤5,36,≤5,24,18,33,≤5,19,7,8,34,25,39,9,52
2020-03-28,≤5,11,31,184,15,1070,63,47,56,29,11,≤5,46,≤5,27,21,41,8,22,8,8,44,29,52,10,58
2020-03-29,≤5,19,34,208,24,1233,68,53,61,33,14,≤5,55,10,34,26,46,11,29,10,12,53,31,67,12,65
2020-03-30,≤5,24,34,217,36,1393,77,60,64,36,14,6,64,10,39,28,47,12,34,10,19,62,34,70,12,69
2020-03-31,≤5,24,40,238,46,1487,86,66,66,36,15,6,67,10,44,36,54,13,34,10,19,71,33,77,15,73
2020-04-01,≤5,36,45,255,63,1645,88,68,80,37,16,10,87,12,51,48,66,13,40,10,22,85,37,80,15,77
2020-04-02,≤5,39,49,272,68,1838,91,72,90,37,16,12,94,14,52,52,74,17,46,10,25,91,38,81,16,84
2020-04-03,≤5,41,50,292,77,2077,98,79,103,47,16,12,96,16,54,55,88,17,47,13,26,94,43,86,18,105
2020-04-04,6,67,54,304,80,2251,105,84,136,54,21,13,116,17,55,63,93,20,63,13,27,105,43,92,20,112
2020-04-05,12,76,54,343,81,2490,108,85,152,73,22,13,128,17,64,78,106,23,64,15,28,128,46,94,21,132
2020-04-06,12,115,60,362,103,2692,112,89,175,75,25,13,140,21,65,107,141,52,66,18,28,125,49,107,21,142
2020-04-07,12,123,65,421,114,3061,128,117,200,79,31,18,143,25,85,126,168,58,73,22,28,133,49,121,22,171
