published_date,female,male,total,unknown
2020-03-20,189.0,241.0,438.0,7.0
2020-03-21,257.0,320.0,584.0,7.0
2020-03-22,311.0,393.0,712.0,8.0
2020-03-23,369.0,460.0,836.0,7.0
2020-03-24,431.0,534.0,965.0,
2020-03-25,522.0,624.0,1146.0,
2020-03-26,630.0,753.0,1383.0,
2020-03-27,760.0,879.0,1639.0,
2020-03-28,888.0,1010.0,1908.0,6.0
2020-03-29,1060.0,1140.0,2216.0,16.0
2020-03-30,1206.0,1240.0,2475.0,29.0
2020-03-31,1321.0,1320.0,2677.0,36.0
2020-04-01,1494.0,1457.0,2990.0,39.0
2020-04-02,1661.0,1572.0,3282.0,49.0
2020-04-03,1860.0,1752.0,3655.0,43.0
2020-04-04,2080.0,1909.0,4014.0,25.0
2020-04-05,2335.0,2072.0,4443.0,36.0
2020-04-06,2633.0,2235.0,4916.0,48.0
2020-04-07,2946.0,2594.0,5593.0,53.0
2020-04-08,3154.0,2757.0,5981.0,70.0
2020-04-09,3425.0,2923.0,6444.0,96.0
2020-04-10,3788.0,2923.0,7071.0,72.0
2020-04-11,4212.0,3489.0,7787.0,86.0
2020-04-12,4616.0,3783.0,8496.0,97.0
2020-04-13,5115.0,4225.0,9484.0,144.0
2020-04-14,5629.0,4617.0,10385.0,139.0
2020-04-15,6140.0,5021.0,11261.0,100.0
2020-04-16,6778.0,5336.0,12425.0,111.0
2020-04-17,7117.0,5773.0,13012.0,122.0
2020-04-18,7568.0,6048.0,13746.0,130.0
2020-04-19,8060.0,6397.0,14602.0,145.0
2020-04-20,8433.0,6603.0,15185.0,149.0
2020-04-21,8595.0,6708.0,15464.0,149.0
2020-04-22,8906.0,6909.0,15871.0,56.0
2020-04-23,9272.0,7105.0,16439.0,62.0
2020-04-24,9893.0,7457.0,17420.0,70.0
2020-04-25,10261.0,7656.0,17975.0,58.0
2020-04-26,10570.0,7797.0,18431.0,64.0
2020-04-27,10963.0,8051.0,19095.0,81.0
2020-04-28,11179.0,8152.0,19383.0,52.0
2020-04-29,11379.0,8287.0,19723.0,57.0
2020-04-30,11625.0,8427.0,21111.0,59.0
2020-05-01,11841.0,8605.0,20510.0,64.0
2020-05-02,11979.0,8695.0,20742.0,68.0
2020-05-03,12166.0,8841.0,21064.0,57.0
2020-05-04,12334.0,9045.0,21437.0,58.0
2020-05-05,12446.0,9151.0,21659.0,62.0
2020-05-06,12562.0,9283.0,21908.0,63.0
2020-05-07,12696.0,9428.0,22186.0,62.0
2020-05-08,12765.0,9472.0,22301.0,64.0
2020-05-09,12879.0,9552.0,22495.0,64.0
2020-05-10,12980.0,9627.0,22671.0,64.0
2020-05-11,13129.0,9698.0,22894.0,67.0
2020-05-12,13249.0,9776.0,23089.0,64.0
2020-05-13,13282.0,9802.0,23144.0,60.0
2020-05-14,13338.0,9853.0,23259.0,68.0
2020-05-15,13559.0,10019.0,23627.0,49.0
2020-05-16,13681.0,10049.0,23879.0,49.0
2020-05-17,13709.0,10195.0,23953.0,49.0
2020-05-18,13768.0,10229.0,24036.0,39.0
2020-05-19,13841.0,10296.0,24176.0,39.0
2020-05-20,13859.0,10307.0,24204.0,38.0
2020-05-21,13899.0,10337.0,24274.0,38.0
2020-05-22,13936.0,10375.0,24351.0,40.0
2020-05-23,13996.0,10418.0,24451.0,37.0
2020-05-24,14064.0,10468.0,24569.0,37.0
2020-05-25,14070.0,10484.0,24593.0,39.0
2020-05-26,14081.0,10510.0,24629.0,38.0
2020-05-27,14145.0,10548.0,24730.0,37.0
2020-05-28,14186.0,10575.0,24795.0,34.0
2020-05-29,14214.0,10589.0,24837.0,34.0
2020-05-30,14235.0,10601.0,24870.0,34.0
2020-05-31,14269.0,10601.0,24924.0,34.0
2020-06-01,14289.0,10661.0,24985.0,35.0
2020-06-02,14332.0,10693.0,25056.0,31.0
2020-06-03,14336.0,10697.0,25064.0,31.0
2020-06-04,14358.0,10715.0,25104.0,31.0
2020-06-05,14370.0,10734.0,25135.0,31.0
2020-06-06,14384.0,10743.0,25159.0,32.0
2020-06-07,14393.0,10751.0,25176.0,32.0
2020-06-08,14406.0,10759.0,25198.0,33.0
2020-06-09,14408.0,10766.0,25206.0,32.0
2020-06-10,14409.0,10771.0,25212.0,32.0
2020-06-11,14421.0,10777.0,25230.0,32.0
2020-06-12,14425.0,10780.0,25237.0,32.0
2020-06-13,14434.0,10784.0,25249.0,31.0
2020-06-14,14460.0,10804.0,25295.0,31.0
2020-06-15,14465.0,10808.0,25303.0,30.0
2020-06-16,14475.0,10815.0,25320.0,30.0
2020-06-17,14483.0,10820.0,25333.0,30.0
2020-06-18,14487.0,10822.0,25339.0,30.0
2020-06-19,14494.0,10831.0,25355.0,30.0
2020-06-20,14492.5,10840.0,25362.5,30.0
2020-06-22,14502.0,10847.0,25379.0,30.0
2020-06-23,14502.0,10849.0,25381.0,30.0
2020-06-24,14508.0,10853.0,25391.0,30.0
2020-06-25,14509.0,10855.0,25394.0,30.0
2020-06-26,14515.0,10858.0,25403.0,30.0
2020-06-29,14532.0,10876.0,25438.0,30.0
2020-06-30,14550.0,10882.0,25462.0,30.0
2020-07-01,14554.0,10887.0,25471.0,30.0
2020-07-03,14565.0,10894.0,25489.0,30.0
2020-07-06,14578.0,10919.0,25527.0,30.0
2020-07-07,14572.0,10912.0,25514.0,30.0
