published_date,community_transmission,contact_confirmed_case,transmission_classification,travel_abroad,under_investigation,unknown,pct_community_transmission,pct_contact_confirmed_case,pct_transmission_classification,pct_travel_abroad,pct_under_investigation,pct_unknown
2020-03-18,60.0,45.0,,113.0,53.0,,0.22,0.17,,0.42,0.2,
2020-03-19,99.0,59.0,,121.0,71.0,,0.35,0.21,,0.43,0.2,
2020-03-20,40.0,21.0,,39.0,96.0,,,,,,,
2020-03-21,179.0,97.0,,148.0,160.0,,,,,,,
2020-03-22,,,,,258.0,,0.44,0.23,,0.33,,
2020-03-23,,,,,,,0.43,0.24,,0.33,,
2020-03-24,,,,,,,0.45,0.24,,0.31,,
2020-03-25,,,,,,,0.29,0.15,,0.18,0.38,
2020-03-26,,,,,,,0.28,0.13,,0.16,0.42,
2020-03-27,,,,,,,0.28,0.12,,0.15,0.55,
2020-03-28,,,,,,,0.25,0.12,,0.13,0.55,
2020-03-29,,,,,,,0.51,0.25,,0.24,,
2020-03-30,,,,,,,0.5,0.27,,0.23,,
2020-03-31,,,,,,,0.51,0.26,,0.23,,
2020-04-01,,,,,,,0.6,0.21,,0.19,,
2020-04-02,,,,,,,0.59,0.23,,0.18,,
2020-04-03,,,,,,,0.61,0.23,,0.16,,
2020-04-04,,,,,,,0.62,0.23,,0.15,,
2020-04-05,,,,,,,0.63,0.24,,0.13,,
2020-04-06,,,,,,,0.65,0.23,,0.12,,
2020-04-07,,,,,,,0.67,0.22,,0.11,,
2020-04-08,,,,,,,0.67,0.23,,0.1,,
2020-04-09,,,,,,,0.67,0.24,,0.09,,
2020-04-10,,,,,,,0.66,0.25,,0.09,,
2020-04-11,,,,,,,0.66,0.26,,0.08,,
2020-04-12,,,,,,,0.67,0.26,,0.07,,
2020-04-13,,,,,,,0.66,0.27,,0.07,,
2020-04-14,,,,,,,0.66,0.27,,0.07,,
2020-04-15,,,,,,,0.52,0.42,,0.06,,
2020-04-16,,,,,,,0.51,0.43,,0.06,,
2020-04-17,,,,,,,0.52,0.42,,0.06,,
2020-04-18,,,,,,,0.52,0.43,,0.05,,
2020-04-19,,,,,,,0.63,0.32,,0.05,,
2020-04-20,,,,,,,0.62,0.34,,0.04,,
2020-04-21,,,,,,,0.6,0.35,,0.05,,
2020-04-22,,,,,,,0.61,0.35,,0.04,,
2020-04-23,,,,,,,0.52,0.44,,0.04,,
2020-04-24,,,,,,,0.63,0.33,,0.04,,
2020-04-25,,,,,,,0.634,0.32899999999999996,,0.037000000000000005,,
2020-04-26,,,,,,,0.63,0.33,,0.04,,
2020-04-27,,,,,,,0.64,0.33,,0.03,,
2020-04-28,,,,,,,0.63,0.34,,0.03,,
2020-04-29,,,,,,,0.63,0.34,,0.03,,
2020-04-30,,,,,,,0.64,0.33,,0.03,,
2020-05-01,,,,,,,0.63,0.33,,0.03,,
2020-05-02,,,,,,,0.63,0.34,,0.03,,
2020-05-03,,,,,,,0.63,0.34,,0.03,,
2020-05-04,,,,,,,0.63,0.34,,0.03,,
2020-05-05,,,,,,,0.62,0.35,,0.03,,
2020-05-06,,,,,,,0.62,0.35,,0.03,,
2020-05-07,,,,,,,0.62,0.35,,0.03,,
2020-05-08,,,,,,,0.61,0.36,,0.03,,
2020-05-09,,,,,,,0.61,0.36,,0.03,,
2020-05-10,,,,,,,0.61,0.36,,0.03,,
2020-05-11,,,,,,,0.61,0.36,,0.03,,
2020-05-12,,,,,,,0.61,0.36,,0.03,,
2020-05-13,,,,,,,0.6,0.37,,0.03,,
2020-05-14,,,,,,,0.6,0.37,,0.03,,
2020-05-15,,,,,,,0.61,0.37,,0.02,,
2020-05-16,,,,,,,0.6,0.37,,0.03,,
2020-05-17,,,,,,,0.6,0.37,,0.03,,
2020-05-18,,,,,,,0.6,0.37,,0.03,,
2020-05-19,,,,,,,0.6,0.37,,0.03,,
2020-05-20,,,,,,,0.6,3.78,,0.02,,
2020-05-21,,,,,,,0.6,0.37,,0.03,,
2020-05-22,,,,,,,0.6,0.37,,0.03,,
2020-05-23,,,,,,,0.6,0.38,,0.02,,
2020-05-24,,,,,,,0.59,0.38,,0.03,,
2020-05-25,,,,,,,0.59,0.38,,0.03,,
2020-05-26,,,,,,,0.59,0.38,,0.03,,
2020-05-27,,,,,,,0.4,0.58,,0.02,,
2020-05-28,,,,,,,0.4,0.58,,0.02,,
2020-05-29,,,,,,,0.4,0.58,,0.02,,
2020-05-30,,,,,,,0.4,0.58,,0.02,,
2020-05-31,,,,,,,0.39299999999999996,0.583,,0.023,,
2020-06-01,,,,,,,0.3914,0.5838,,0.023,,
2020-06-02,,,,,,,0.3908,0.5836,,0.0229,,
2020-06-03,,,,,,,0.39,0.5852,,0.0229,,
2020-06-04,,,,,,,0.3895,0.586,,0.022799999999999997,,
2020-06-05,,,,,,,0.39,0.59,,0.02,,
2020-06-06,,,,,,,0.39,0.59,,0.02,,
2020-06-07,,,,,,,0.3881,0.5881000000000001,,0.022799999999999997,,
2020-06-08,,,,,,,0.38770000000000004,0.5885,,0.022799999999999997,,
2020-06-09,,,,,,,0.3846,0.5917,,0.0229,,
2020-06-10,,,,,,,0.38,0.6,,0.02,,
2020-06-11,,,,,,,0.38,0.6,,0.02,,
2020-06-12,,,,,,,0.38,0.6,,0.02,,
2020-06-13,,,,,,,0.37310000000000004,0.6031,,0.0231,,
2020-06-14,,,,,,,0.37,0.6,,0.02,,
2020-06-15,,,,,,,0.3735,0.6027,,0.023,,
2020-06-16,,,,,,,0.3726,0.6038,,0.023,,
2020-06-17,,,,,,,0.3715,0.6049,,0.023,,
2020-06-18,,,,,,,0.37079999999999996,0.6056,,0.023,,
2020-06-19,,,,,,,0.3701,0.6062,,0.023,,
2020-06-20,,,,,,,0.36975,0.6084499999999999,,0.02155,,0.0006
2020-06-22,36.0,61.0,,2.0,,,,,0.0,,,
2020-06-23,36.0,62.0,,2.0,,,,,0.0,,,
2020-06-24,36.0,62.0,,2.0,,,,,0.0,,,
2020-06-25,35.4,62.3,,2.3,,,,,0.0,,,
2020-06-26,35.1,62.6,,2.3,,,,,0.0,,,
2020-06-29,35.0,62.7,,2.3,,,,,0.0,,,
2020-06-30,34.8,62.9,,2.3,,,,,0.0,,,
2020-07-01,35.0,63.0,,2.0,,,,,0.0,,,
2020-07-03,33.3,64.3,,2.3,,,,,0.0,,,
2020-07-06,33.2,64.5,,2.3,,,,,0.0,,,
2020-07-07,33.0,64.6,,2.3,,,,,0.0,,,
2020-07-08,32.9,64.7,,2.4,,,,,0.0,,,
2020-07-09,32.8,64.8,,2.4,,,,,0.0,,,
2020-07-10,32.6,64.9,,2.4,,,,,0.0,,,
2020-07-11,32.6,65.0,,2.4,,,,,0.0,,,
2020-07-12,32.6,64.9,,2.4,,,,,0.0,,,
2020-07-13,32.6,65.0,,2.4,,,,,0.0,,,
2020-07-14,32.4,65.2,,2.4,,,,,0.0,,,
