published_date,txt_cases,txt_cases_admitted_icu,txt_cases_cork,txt_cases_cork_pct,txt_cases_dublin,txt_cases_dublin_pct,txt_cases_healthcare_workers,txt_cases_healthcare_workers_pct,txt_cases_hospitalised,txt_cases_hospitalised_pct,txt_cases_median_age,txt_close_contact_pct,txt_clusters,txt_clusters_cases,txt_clusters_residential_care,txt_clusters_residential_care_nursing_homes,txt_community_transmission_pct,txt_deaths,txt_deaths_median_age,txt_deaths_residential_care,txt_deaths_residential_care_nursing_homes,txt_female_pct,txt_male_pct,txt_new_cases,txt_new_cases_germany,txt_new_deaths,txt_new_deaths_east,txt_new_deaths_females,txt_new_deaths_males,txt_new_deaths_median_age,txt_new_deaths_northwest,txt_new_deaths_south,txt_new_deaths_underlying,txt_new_deaths_west,txt_tests,txt_travel_abroad_pct,txt_growth_rate
2020-05-06,22248.0,373.0,,,,,6393.0,,2878.0,0.13,49.0,0.35,,,,,0.62,1375.0,,,,,,,,,,,,,,,,,,0.03,
"at: <time datetime=""2020-03-04T22:30",,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,
"at: <time datetime=""2020-03-05T08:00",13.0,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,1.1666666666666667
"at: <time datetime=""2020-03-06T19:59",18.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,0.38461538461538464
"at: <time datetime=""2020-03-07T18:15",19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"at: <time datetime=""2020-03-08T17:52",21.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,0.10526315789473684
"at: <time datetime=""2020-03-09T19:00",24.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,0.14285714285714285
"at: <time datetime=""2020-03-10T18:44",34.0,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,0.4166666666666667
"at: <time datetime=""2020-03-11T18:50",43.0,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,0.2647058823529412
"at: <time datetime=""2020-03-12T19:15",70.0,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,0.627906976744186
"at: <time datetime=""2020-03-13T18:10",90.0,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,0.2857142857142857
"at: <time datetime=""2020-03-14T18:41",129.0,,,,,,,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,0.43333333333333335
"at: <time datetime=""2020-03-15T18:10",169.0,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,0.31007751937984496
"at: <time datetime=""2020-03-16T21:03",223.0,,,,,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,0.31952662721893493
"at: <time datetime=""2020-03-17T17:56",292.0,,,,,,,,,,,,,,,,,,,,,,,69.0,,,,,,,,,,,,,0.3094170403587444
"at: <time datetime=""2020-03-18T21:00",366.0,,,,,,,,,,,,,,,,,,,,,,,74.0,,,,,,,,,,,,,0.2534246575342466
"at: <time datetime=""2020-03-19T18:15",557.0,,,,,,84.0,,,,43.0,,,,,,,,,,,0.43,0.55,191.0,,,,,,,,,,,,,0.5218579234972678
